Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
Afghanistan,2030,0-4,0,5,3020.571,2871.955,5892.526
Albania,2030,0-4,0,5,68.824,63.581,132.405
Algeria,2030,0-4,0,5,2116.681,2026.749,4143.43
Angola,2030,0-4,0,5,3714.206,3649.187,7363.393
Antigua and Barbuda,2030,0-4,0,5,3.452,3.354,6.806
Argentina,2030,0-4,0,5,1867.24,1797.343,3664.583
Armenia,2030,0-4,0,5,81.923,76.229,158.152
Aruba,2030,0-4,0,5,3.38,3.227,6.607
Australia,2030,0-4,0,5,838.332,794.035,1632.367
Austria,2030,0-4,0,5,225.358,213.747,439.105
Azerbaijan,2030,0-4,0,5,334.125,303.299,637.424
Bahamas,2030,0-4,0,5,14.086,13.35,27.436
Bahrain,2030,0-4,0,5,56.912,54.771,111.683
Bangladesh,2030,0-4,0,5,6626.425,6340.916,12967.341
Barbados,2030,0-4,0,5,7.616,7.359,14.975
Belarus,2030,0-4,0,5,234.26,220.495,454.755
Belgium,2030,0-4,0,5,312.163,297.525,609.688
Belize,2030,0-4,0,5,20.44,19.896,40.336
Benin,2030,0-4,0,5,1155.64,1122.091,2277.731
Bhutan,2030,0-4,0,5,28.673,27.735,56.408
Bolivia (Plurinational State of),2030,0-4,0,5,617.924,591.381,1209.305
Bosnia and Herzegovina,2030,0-4,0,5,58.301,55.618,113.919
Botswana,2030,0-4,0,5,134.954,131.852,266.806
Brazil,2030,0-4,0,5,6548.483,6247.917,12796.4
Brunei Darussalam,2030,0-4,0,5,14.219,13.494,27.713
Bulgaria,2030,0-4,0,5,141.053,133.235,274.288
Burkina Faso,2030,0-4,0,5,2116.66,2041.956,4158.616
Burundi,2030,0-4,0,5,1209.483,1185.157,2394.64
Cabo Verde,2030,0-4,0,5,23.367,22.77,46.137
Cambodia,2030,0-4,0,5,849.72,814.784,1664.504
Cameroon,2030,0-4,0,5,2389.496,2344.55,4734.046
Canada,2030,0-4,0,5,1035.917,983.61,2019.527
Chad,2030,0-4,0,5,1761.558,1736.175,3497.733
Channel Islands,2030,0-4,0,5,4.59,4.349,8.939
Chile,2030,0-4,0,5,529.784,509.629,1039.413
China,2030,0-4,0,5,37006.608,34026.171,71032.779
"China, Hong Kong SAR",2030,0-4,0,5,204.247,191.825,396.072
"China, Macao SAR",2030,0-4,0,5,16.405,15.688,32.093
"China, Taiwan Province of China",2030,0-4,0,5,514.994,486.057,1001.051
Colombia,2030,0-4,0,5,1665.276,1590.093,3255.369
Comoros,2030,0-4,0,5,68.451,65.949,134.4
Congo,2030,0-4,0,5,489.161,479.036,968.197
Costa Rica,2030,0-4,0,5,157.067,149.718,306.785
Croatia,2030,0-4,0,5,80.514,76.028,156.542
Cuba,2030,0-4,0,5,252.127,238.615,490.742
Curaçao,2030,0-4,0,5,4.701,4.489,9.19
Cyprus,2030,0-4,0,5,28.858,27.079,55.937
Czechia,2030,0-4,0,5,253.161,239.451,492.612
Côte d'Ivoire,2030,0-4,0,5,2465.411,2431.628,4897.039
Dem. People's Republic of Korea,2030,0-4,0,5,861.262,821.186,1682.448
Democratic Republic of the Congo,2030,0-4,0,5,9672.948,9485.467,19158.415
Denmark,2030,0-4,0,5,174.088,165.068,339.156
Djibouti,2030,0-4,0,5,46.725,45.564,92.289
Dominican Republic,2030,0-4,0,5,470.975,451.267,922.242
Ecuador,2030,0-4,0,5,830.246,792.306,1622.552
Egypt,2030,0-4,0,5,6406.606,6059.372,12465.978
El Salvador,2030,0-4,0,5,263.909,251.807,515.716
Equatorial Guinea,2030,0-4,0,5,122.773,120.584,243.357
Eritrea,2030,0-4,0,5,270.769,259.755,530.524
Estonia,2030,0-4,0,5,30.175,28.458,58.633
Eswatini,2030,0-4,0,5,70.074,68.811,138.885
Ethiopia,2030,0-4,0,5,9384.418,9111.496,18495.914
Fiji,2030,0-4,0,5,43.602,41.397,84.999
Finland,2030,0-4,0,5,124.493,118.567,243.06
France,2030,0-4,0,5,1794.983,1714.064,3509.047
French Guiana,2030,0-4,0,5,20.434,19.485,39.919
French Polynesia,2030,0-4,0,5,9.382,8.938,18.32
Gabon,2030,0-4,0,5,163.124,159.847,322.971
Gambia,2030,0-4,0,5,241.814,236.93,478.744
Georgia,2030,0-4,0,5,111.883,105.704,217.587
Germany,2030,0-4,0,5,1958.966,1854.439,3813.405
Ghana,2030,0-4,0,5,2327.492,2230.296,4557.788
Greece,2030,0-4,0,5,171.498,161.061,332.559
Grenada,2030,0-4,0,5,3.849,3.677,7.526
Guadeloupe,2030,0-4,0,5,12.041,11.622,23.663
Guam,2030,0-4,0,5,6.918,6.549,13.467
Guatemala,2030,0-4,0,5,1081.601,1034.395,2115.996
Guinea,2030,0-4,0,5,1244.119,1226.961,2471.08
Guinea-Bissau,2030,0-4,0,5,169.664,166.563,336.227
Guyana,2030,0-4,0,5,34.735,33.154,67.889
Haiti,2030,0-4,0,5,622.549,599.409,1221.958
Honduras,2030,0-4,0,5,520.546,496.558,1017.104
Hungary,2030,0-4,0,5,220.349,208.236,428.585
Iceland,2030,0-4,0,5,10.04,9.537,19.577
India,2030,0-4,0,5,59915.824,54720.954,114636.778
Indonesia,2030,0-4,0,5,11614.083,11108.994,22723.077
Iran (Islamic Republic of),2030,0-4,0,5,3230.9,3074.571,6305.471
Iraq,2030,0-4,0,5,3113.893,2941.921,6055.814
Ireland,2030,0-4,0,5,138.67,132.11,270.78
Israel,2030,0-4,0,5,445.419,423.269,868.688
Italy,2030,0-4,0,5,1074.997,1011.946,2086.943
Jamaica,2030,0-4,0,5,104.374,100.048,204.422
Japan,2030,0-4,0,5,2178.149,2063.474,4241.623
Jordan,2030,0-4,0,5,502.219,476.842,979.061
Kazakhstan,2030,0-4,0,5,829.45,782.933,1612.383
Kenya,2030,0-4,0,5,4016.565,3936.059,7952.624
Kiribati,2030,0-4,0,5,7.722,7.417,15.139
Kuwait,2030,0-4,0,5,130.757,125.333,256.09
Kyrgyzstan,2030,0-4,0,5,355.492,337.083,692.575
Latvia,2030,0-4,0,5,38.798,36.677,75.475
Lebanon,2030,0-4,0,5,222.571,212.238,434.809
Lesotho,2030,0-4,0,5,122.378,120.313,242.691
Liberia,2030,0-4,0,5,439.542,421.795,861.337
Libya,2030,0-4,0,5,282.572,267.463,550.035
Lithuania,2030,0-4,0,5,57.099,54.213,111.312
Luxembourg,2030,0-4,0,5,17.633,16.839,34.472
Madagascar,2030,0-4,0,5,2467.941,2412.533,4880.474
Malawi,2030,0-4,0,5,1787.971,1751.989,3539.96
Malaysia,2030,0-4,0,5,1316.786,1241.36,2558.146
Maldives,2030,0-4,0,5,14.283,13.392,27.675
Mali,2030,0-4,0,5,2244.953,2168.61,4413.563
Malta,2030,0-4,0,5,10.637,10.043,20.68
Martinique,2030,0-4,0,5,9.373,9.022,18.395
Mauritania,2030,0-4,0,5,408.72,394.267,802.987
Mauritius,2030,0-4,0,5,30.942,29.742,60.684
Mayotte,2030,0-4,0,5,20.538,19.951,40.489
Melanesia,2030,0-4,0,5,766.94,718.976,1485.916
Mexico,2030,0-4,0,5,5242.225,5000.807,10243.032
Micronesia,2030,0-4,0,5,27.784,26.441,54.225
Mongolia,2030,0-4,0,5,163.199,159.11,322.309
Montenegro,2030,0-4,0,5,17.297,16.377,33.674
Morocco,2030,0-4,0,5,1589.135,1503.864,3092.999
Mozambique,2030,0-4,0,5,3137.364,3115.963,6253.327
Myanmar,2030,0-4,0,5,2243.03,2202.589,4445.619
Namibia,2030,0-4,0,5,171.602,171.297,342.899
Nepal,2030,0-4,0,5,1288.792,1222.804,2511.596
Netherlands,2030,0-4,0,5,450.906,429.522,880.428
New Caledonia,2030,0-4,0,5,10.141,9.672,19.813
New Zealand,2030,0-4,0,5,154.638,146.494,301.132
Nicaragua,2030,0-4,0,5,309.991,296.542,606.533
Niger,2030,0-4,0,5,3283.825,3158.357,6442.182
Nigeria,2030,0-4,0,5,20400.091,19448.825,39848.916
North Macedonia,2030,0-4,0,5,48.829,46.357,95.186
Norway,2030,0-4,0,5,167.825,158.091,325.916
Oceania (excluding Australia and New Zealand),2030,0-4,0,5,827.057,775.852,1602.909
Oman,2030,0-4,0,5,193.581,184.419,378
Pakistan,2030,0-4,0,5,14643.556,13665.099,28308.655
Panama,2030,0-4,0,5,202.582,193.441,396.023
Papua New Guinea,2030,0-4,0,5,630.455,589.131,1219.586
Paraguay,2030,0-4,0,5,349.782,334.19,683.972
Peru,2030,0-4,0,5,1376.207,1312.887,2689.094
Philippines,2030,0-4,0,5,5614.87,5321.278,10936.148
Poland,2030,0-4,0,5,799.714,757.539,1557.253
Polynesia,2030,0-4,0,5,32.333,30.435,62.768
Portugal,2030,0-4,0,5,198.638,187.505,386.143
Puerto Rico,2030,0-4,0,5,55.999,53.334,109.333
Qatar,2030,0-4,0,5,68.877,65.502,134.379
Republic of Korea,2030,0-4,0,5,877.951,829.531,1707.482
Republic of Moldova,2030,0-4,0,5,84.698,80.303,165.001
Romania,2030,0-4,0,5,429.021,406.011,835.032
Russian Federation,2030,0-4,0,5,3780.767,3588.813,7369.58
Rwanda,2030,0-4,0,5,1022.067,999.776,2021.843
Réunion,2030,0-4,0,5,32.088,31.153,63.241
Saint Lucia,2030,0-4,0,5,4.679,4.557,9.236
Saint Vincent and the Grenadines,2030,0-4,0,5,3.572,3.479,7.051
Samoa,2030,0-4,0,5,12.302,11.409,23.711
Sao Tome and Principe,2030,0-4,0,5,18.355,17.949,36.304
Saudi Arabia,2030,0-4,0,5,1305.993,1268.792,2574.785
Senegal,2030,0-4,0,5,1522.244,1480.411,3002.655
Serbia,2030,0-4,0,5,185.694,175.329,361.023
Seychelles,2030,0-4,0,5,3.582,3.384,6.966
Sierra Leone,2030,0-4,0,5,616.529,612.115,1228.644
Singapore,2030,0-4,0,5,128.46,118.882,247.342
Slovakia,2030,0-4,0,5,126.399,120.522,246.921
Slovenia,2030,0-4,0,5,44.384,42.113,86.497
Solomon Islands,2030,0-4,0,5,58.674,55.825,114.499
Somalia,2030,0-4,0,5,1815.385,1787.934,3603.319
Spain,2030,0-4,0,5,901.193,847.467,1748.66
Sri Lanka,2030,0-4,0,5,755.403,726.528,1481.931
State of Palestine,2030,0-4,0,5,378.994,361.513,740.507
Sudan,2030,0-4,0,5,3732.79,3629.846,7362.636
Suriname,2030,0-4,0,5,25.524,24.418,49.942
Sweden,2030,0-4,0,5,304.57,287.641,592.211
Switzerland,2030,0-4,0,5,229.394,218.592,447.986
Syrian Arab Republic,2030,0-4,0,5,1214.819,1160.542,2375.361
Tajikistan,2030,0-4,0,5,676.198,639.703,1315.901
Thailand,2030,0-4,0,5,1596.454,1504.977,3101.431
Timor-Leste,2030,0-4,0,5,95.751,92.288,188.039
Togo,2030,0-4,0,5,712.34,707.976,1420.316
Tonga,2030,0-4,0,5,6.412,6.092,12.504
Trinidad and Tobago,2030,0-4,0,5,37.057,35.878,72.935
Tunisia,2030,0-4,0,5,425.71,405.896,831.606
Turkey,2030,0-4,0,5,3083.068,2941.147,6024.215
Turkmenistan,2030,0-4,0,5,295.964,287.444,583.408
Uganda,2030,0-4,0,5,4340.385,4252.997,8593.382
Ukraine,2030,0-4,0,5,876.689,827.144,1703.833
United Arab Emirates,2030,0-4,0,5,251.305,240.819,492.124
United Kingdom,2030,0-4,0,5,1948.889,1855.921,3804.81
United Republic of Tanzania,2030,0-4,0,5,6074.123,5944.353,12018.476
United States Virgin Islands,2030,0-4,0,5,2.753,2.593,5.346
United States of America,2030,0-4,0,5,10634.887,10173.267,20808.154
Uruguay,2030,0-4,0,5,113.954,108.787,222.741
Uzbekistan,2030,0-4,0,5,1509.096,1424.956,2934.052
Vanuatu,2030,0-4,0,5,24.068,22.951,47.019
Venezuela (Bolivarian Republic of),2030,0-4,0,5,1347.546,1292.321,2639.867
Viet Nam,2030,0-4,0,5,3604.875,3369.593,6974.468
Yemen,2030,0-4,0,5,2154.375,2069.245,4223.62
Zambia,2030,0-4,0,5,1846.728,1808.082,3654.81
Zimbabwe,2030,0-4,0,5,1067.755,1054.879,2122.634
Afghanistan,2030,5-9,5,5,2949.438,2807.293,5756.731
Albania,2030,5-9,5,5,78.448,72.399,150.847
Algeria,2030,5-9,5,5,2328.046,2232.531,4560.577
Angola,2030,5-9,5,5,3243.623,3194.29,6437.913
Antigua and Barbuda,2030,5-9,5,5,3.585,3.485,7.07
Argentina,2030,5-9,5,5,1883.347,1813.592,3696.939
Armenia,2030,5-9,5,5,93.581,85.66,179.241
Aruba,2030,5-9,5,5,3.271,3.137,6.408
Australia,2030,5-9,5,5,880.501,835.02,1715.521
Austria,2030,5-9,5,5,234.17,222.268,456.438
Azerbaijan,2030,5-9,5,5,369.739,332.837,702.576
Bahamas,2030,5-9,5,5,14.105,13.37,27.475
Bahrain,2030,5-9,5,5,56.78,54.612,111.392
Bangladesh,2030,5-9,5,5,7013.308,6717.905,13731.213
Barbados,2030,5-9,5,5,7.626,7.375,15.001
Belarus,2030,5-9,5,5,263.957,248.535,512.492
Belgium,2030,5-9,5,5,325.031,310.138,635.169
Belize,2030,5-9,5,5,20.615,20.082,40.697
Benin,2030,5-9,5,5,1035.307,1007.797,2043.104
Bhutan,2030,5-9,5,5,30.899,29.924,60.823
Bolivia (Plurinational State of),2030,5-9,5,5,607.437,582.392,1189.829
Bosnia and Herzegovina,2030,5-9,5,5,61.483,58.681,120.164
Botswana,2030,5-9,5,5,134.145,131.17,265.315
Brazil,2030,5-9,5,5,6975.73,6660.479,13636.209
Brunei Darussalam,2030,5-9,5,5,15.128,14.366,29.494
Bulgaria,2030,5-9,5,5,149.257,141.024,290.281
Burkina Faso,2030,5-9,5,5,1900.046,1834.265,3734.311
Burundi,2030,5-9,5,5,1104.401,1086.238,2190.639
Cabo Verde,2030,5-9,5,5,24.692,24.081,48.773
Cambodia,2030,5-9,5,5,872.256,835.305,1707.561
Cameroon,2030,5-9,5,5,2184.473,2148.152,4332.625
Canada,2030,5-9,5,5,1043.755,992.108,2035.863
Chad,2030,5-9,5,5,1561.813,1547.676,3109.489
Channel Islands,2030,5-9,5,5,4.607,4.368,8.975
Chile,2030,5-9,5,5,560.063,538.933,1098.996
China,2030,5-9,5,5,40024.719,36167.828,76192.547
"China, Hong Kong SAR",2030,5-9,5,5,200.068,186.714,386.782
"China, Macao SAR",2030,5-9,5,5,18.509,17.723,36.232
"China, Taiwan Province of China",2030,5-9,5,5,530.008,494.489,1024.497
Colombia,2030,5-9,5,5,1771.59,1692.061,3463.651
Comoros,2030,5-9,5,5,64.238,62.019,126.257
Congo,2030,5-9,5,5,442.434,433.979,876.413
Costa Rica,2030,5-9,5,5,167.765,160.011,327.776
Croatia,2030,5-9,5,5,85.875,81.085,166.96
Cuba,2030,5-9,5,5,269.274,254.876,524.15
Curaçao,2030,5-9,5,5,4.686,4.485,9.171
Cyprus,2030,5-9,5,5,30.879,29.076,59.955
Czechia,2030,5-9,5,5,271.145,256.614,527.759
Côte d'Ivoire,2030,5-9,5,5,2231.52,2208.068,4439.588
Dem. People's Republic of Korea,2030,5-9,5,5,886.028,844.958,1730.986
Democratic Republic of the Congo,2030,5-9,5,5,8568.336,8426.846,16995.182
Denmark,2030,5-9,5,5,169.66,160.913,330.573
Djibouti,2030,5-9,5,5,48.161,47.183,95.344
Dominican Republic,2030,5-9,5,5,489.532,469.737,959.269
Ecuador,2030,5-9,5,5,844.638,806.616,1651.254
Egypt,2030,5-9,5,5,6378.987,6035.014,12414.001
El Salvador,2030,5-9,5,5,278.947,265.677,544.624
Equatorial Guinea,2030,5-9,5,5,111.019,109.122,220.141
Eritrea,2030,5-9,5,5,253.236,243.65,496.886
Estonia,2030,5-9,5,5,33.224,31.339,64.563
Eswatini,2030,5-9,5,5,68.901,67.864,136.765
Ethiopia,2030,5-9,5,5,8947.754,8718.7,17666.454
Fiji,2030,5-9,5,5,44.302,42.089,86.391
Finland,2030,5-9,5,5,127.676,121.651,249.327
France,2030,5-9,5,5,1832.046,1749.484,3581.53
French Guiana,2030,5-9,5,5,19.34,18.454,37.794
French Polynesia,2030,5-9,5,5,9.758,9.295,19.053
Gabon,2030,5-9,5,5,160.796,157.948,318.744
Gambia,2030,5-9,5,5,219.498,215.307,434.805
Georgia,2030,5-9,5,5,121.216,114.518,235.734
Germany,2030,5-9,5,5,2036.056,1928.832,3964.888
Ghana,2030,5-9,5,5,2201.453,2112.362,4313.815
Greece,2030,5-9,5,5,183.1,171.934,355.034
Grenada,2030,5-9,5,5,4.258,4.066,8.324
Guadeloupe,2030,5-9,5,5,11.236,10.875,22.111
Guam,2030,5-9,5,5,6.894,6.529,13.423
Guatemala,2030,5-9,5,5,1072.505,1026.688,2099.193
Guinea,2030,5-9,5,5,1134.302,1118.908,2253.21
Guinea-Bissau,2030,5-9,5,5,158.173,155.745,313.918
Guyana,2030,5-9,5,5,36.137,34.299,70.436
Haiti,2030,5-9,5,5,620.338,598.834,1219.172
Honduras,2030,5-9,5,5,523.443,499.829,1023.272
Hungary,2030,5-9,5,5,229.088,216.561,445.649
Iceland,2030,5-9,5,5,10.3,9.788,20.088
India,2030,5-9,5,5,60512.36,54920.827,115433.187
Indonesia,2030,5-9,5,5,11760.818,11253.613,23014.431
Iran (Islamic Republic of),2030,5-9,5,5,3564.904,3393.172,6958.076
Iraq,2030,5-9,5,5,2933.917,2774.295,5708.212
Ireland,2030,5-9,5,5,147.382,140.475,287.857
Israel,2030,5-9,5,5,437.323,415.758,853.081
Italy,2030,5-9,5,5,1107.062,1042.852,2149.914
Jamaica,2030,5-9,5,5,110.972,106.54,217.512
Japan,2030,5-9,5,5,2262.711,2144.016,4406.727
Jordan,2030,5-9,5,5,490.437,464.244,954.681
Kazakhstan,2030,5-9,5,5,876.389,827.613,1704.002
Kenya,2030,5-9,5,5,3764.197,3694.941,7459.138
Kiribati,2030,5-9,5,5,7.706,7.413,15.119
Kuwait,2030,5-9,5,5,127.777,122.553,250.33
Kyrgyzstan,2030,5-9,5,5,367.178,348.477,715.655
Latvia,2030,5-9,5,5,44.614,42.125,86.739
Lebanon,2030,5-9,5,5,226.349,216.805,443.154
Lesotho,2030,5-9,5,5,117.959,116.911,234.87
Liberia,2030,5-9,5,5,402.196,386.588,788.784
Libya,2030,5-9,5,5,299.702,283.943,583.645
Lithuania,2030,5-9,5,5,64.152,60.829,124.981
Luxembourg,2030,5-9,5,5,18.137,17.337,35.474
Madagascar,2030,5-9,5,5,2265.157,2220.722,4485.879
Malawi,2030,5-9,5,5,1623.805,1594.817,3218.622
Malaysia,2030,5-9,5,5,1365.531,1286.485,2652.016
Maldives,2030,5-9,5,5,16.309,15.34,31.649
Mali,2030,5-9,5,5,1973.398,1912.653,3886.051
Malta,2030,5-9,5,5,11.202,10.579,21.781
Martinique,2030,5-9,5,5,8.958,8.624,17.582
Mauritania,2030,5-9,5,5,374.192,361.749,735.941
Mauritius,2030,5-9,5,5,31.717,30.499,62.216
Mayotte,2030,5-9,5,5,19.258,18.712,37.97
Melanesia,2030,5-9,5,5,729.417,684.281,1413.698
Mexico,2030,5-9,5,5,5428.489,5179.57,10608.059
Micronesia,2030,5-9,5,5,27.408,26.08,53.488
Mongolia,2030,5-9,5,5,172.958,168.708,341.666
Montenegro,2030,5-9,5,5,18.162,17.029,35.191
Morocco,2030,5-9,5,5,1639.796,1553.486,3193.282
Mozambique,2030,5-9,5,5,2837.384,2824.263,5661.647
Myanmar,2030,5-9,5,5,2242.155,2206.246,4448.401
Namibia,2030,5-9,5,5,168.288,168.408,336.696
Nepal,2030,5-9,5,5,1383.519,1317.723,2701.242
Netherlands,2030,5-9,5,5,451.768,430.501,882.269
New Caledonia,2030,5-9,5,5,10.104,9.645,19.749
New Zealand,2030,5-9,5,5,157.457,149.389,306.846
Nicaragua,2030,5-9,5,5,319.095,304.497,623.592
Niger,2030,5-9,5,5,2781.619,2685.87,5467.489
Nigeria,2030,5-9,5,5,18219.675,17418.023,35637.698
North Macedonia,2030,5-9,5,5,52.74,50.084,102.824
Norway,2030,5-9,5,5,165.111,155.28,320.391
Oceania (excluding Australia and New Zealand),2030,5-9,5,5,788.788,740.365,1529.153
Oman,2030,5-9,5,5,215.361,205.285,420.646
Pakistan,2030,5-9,5,5,14497.466,13475.13,27972.596
Panama,2030,5-9,5,5,201.399,192.52,393.919
Papua New Guinea,2030,5-9,5,5,597.28,558.862,1156.142
Paraguay,2030,5-9,5,5,355.762,340.19,695.952
Peru,2030,5-9,5,5,1432.332,1368.524,2800.856
Philippines,2030,5-9,5,5,5525.817,5241.271,10767.088
Poland,2030,5-9,5,5,880.671,834.356,1715.027
Polynesia,2030,5-9,5,5,31.963,30.004,61.967
Portugal,2030,5-9,5,5,200.698,189.482,390.18
Puerto Rico,2030,5-9,5,5,51.925,49.587,101.512
Qatar,2030,5-9,5,5,73.746,69.35,143.096
Republic of Korea,2030,5-9,5,5,896.009,846.42,1742.429
Republic of Moldova,2030,5-9,5,5,94.657,89.797,184.454
Romania,2030,5-9,5,5,448.296,424.347,872.643
Russian Federation,2030,5-9,5,5,4222.507,4009.656,8232.163
Rwanda,2030,5-9,5,5,981.584,961.909,1943.493
Réunion,2030,5-9,5,5,31.865,30.868,62.733
Saint Lucia,2030,5-9,5,5,5.139,5.008,10.147
Saint Vincent and the Grenadines,2030,5-9,5,5,3.737,3.64,7.377
Samoa,2030,5-9,5,5,11.844,10.983,22.827
Sao Tome and Principe,2030,5-9,5,5,16.772,16.412,33.184
Saudi Arabia,2030,5-9,5,5,1417.282,1377.065,2794.347
Senegal,2030,5-9,5,5,1405.28,1368.741,2774.021
Serbia,2030,5-9,5,5,197.869,186.81,384.679
Seychelles,2030,5-9,5,5,3.75,3.545,7.295
Sierra Leone,2030,5-9,5,5,586.17,582.206,1168.376
Singapore,2030,5-9,5,5,135.252,124.853,260.105
Slovakia,2030,5-9,5,5,136.473,130.185,266.658
Slovenia,2030,5-9,5,5,47.926,45.48,93.406
Solomon Islands,2030,5-9,5,5,55.06,52.158,107.218
Somalia,2030,5-9,5,5,1565.111,1547.666,3112.777
Spain,2030,5-9,5,5,953.797,897.26,1851.057
Sri Lanka,2030,5-9,5,5,767.632,741.097,1508.729
State of Palestine,2030,5-9,5,5,366.707,349.88,716.587
Sudan,2030,5-9,5,5,3406.847,3322.181,6729.028
Suriname,2030,5-9,5,5,26.139,24.778,50.917
Sweden,2030,5-9,5,5,315.093,297.707,612.8
Switzerland,2030,5-9,5,5,235.215,224.342,459.557
Syrian Arab Republic,2030,5-9,5,5,1369.196,1307.436,2676.632
Tajikistan,2030,5-9,5,5,674.513,638.327,1312.84
Thailand,2030,5-9,5,5,1708.068,1611.073,3319.141
Timor-Leste,2030,5-9,5,5,93.379,90.143,183.522
Togo,2030,5-9,5,5,646.271,643.192,1289.463
Tonga,2030,5-9,5,5,6.181,5.867,12.048
Trinidad and Tobago,2030,5-9,5,5,39.81,38.571,78.381
Tunisia,2030,5-9,5,5,469.118,447.493,916.611
Turkey,2030,5-9,5,5,3209.668,3065.185,6274.853
Turkmenistan,2030,5-9,5,5,311.813,303.37,615.183
Uganda,2030,5-9,5,5,4033.809,3962.583,7996.392
Ukraine,2030,5-9,5,5,947.795,894.678,1842.473
United Arab Emirates,2030,5-9,5,5,260.655,250.004,510.659
United Kingdom,2030,5-9,5,5,2005.274,1909.935,3915.209
United Republic of Tanzania,2030,5-9,5,5,5404.314,5295.463,10699.777
United States Virgin Islands,2030,5-9,5,5,2.849,2.683,5.532
United States of America,2030,5-9,5,5,10447.753,10001.658,20449.411
Uruguay,2030,5-9,5,5,116.903,111.671,228.574
Uzbekistan,2030,5-9,5,5,1610.507,1520.219,3130.726
Vanuatu,2030,5-9,5,5,22.671,21.527,44.198
Venezuela (Bolivarian Republic of),2030,5-9,5,5,1279.981,1226.344,2506.325
Viet Nam,2030,5-9,5,5,3823.474,3497.033,7320.507
Yemen,2030,5-9,5,5,2117.516,2035.394,4152.91
Zambia,2030,5-9,5,5,1648.998,1618.532,3267.53
Zimbabwe,2030,5-9,5,5,1022.205,1010.703,2032.908
Afghanistan,2030,10-14,10,5,2854.989,2719.648,5574.637
Albania,2030,10-14,10,5,84.085,77.258,161.343
Algeria,2030,10-14,10,5,2558.744,2456.208,5014.952
Angola,2030,10-14,10,5,2855.005,2815.455,5670.46
Antigua and Barbuda,2030,10-14,10,5,3.72,3.618,7.338
Argentina,2030,10-14,10,5,1899.349,1830.056,3729.405
Armenia,2030,10-14,10,5,107.047,96.5,203.547
Aruba,2030,10-14,10,5,3.133,3.031,6.164
Australia,2030,10-14,10,5,924.657,879.92,1804.577
Austria,2030,10-14,10,5,233.572,221.09,454.662
Azerbaijan,2030,10-14,10,5,433.299,388.058,821.357
Bahamas,2030,10-14,10,5,13.979,13.254,27.233
Bahrain,2030,10-14,10,5,55.1,53.865,108.965
Bangladesh,2030,10-14,10,5,7259.238,6946.885,14206.123
Barbados,2030,10-14,10,5,7.654,7.406,15.06
Belarus,2030,10-14,10,5,277.358,270.802,548.16
Belgium,2030,10-14,10,5,336.815,317.982,654.797
Belize,2030,10-14,10,5,20.033,19.53,39.563
Benin,2030,10-14,10,5,932.945,908.821,1841.766
Bhutan,2030,10-14,10,5,32.21,31.198,63.408
Bolivia (Plurinational State of),2030,10-14,10,5,593.29,568.948,1162.238
Bosnia and Herzegovina,2030,10-14,10,5,68.512,64.437,132.949
Botswana,2030,10-14,10,5,136.742,133.725,270.467
Brazil,2030,10-14,10,5,7381.974,7054.994,14436.968
Brunei Darussalam,2030,10-14,10,5,16.201,15.382,31.583
Bulgaria,2030,10-14,10,5,159.821,151.008,310.829
Burkina Faso,2030,10-14,10,5,1716.468,1654.586,3371.054
Burundi,2030,10-14,10,5,1002.862,988.734,1991.596
Cabo Verde,2030,10-14,10,5,25.915,25.271,51.186
Cambodia,2030,10-14,10,5,892.615,861.958,1754.573
Cameroon,2030,10-14,10,5,2012.947,1980.887,3993.834
Canada,2030,10-14,10,5,1047.947,1000.337,2048.284
Chad,2030,10-14,10,5,1387.878,1376.943,2764.821
Channel Islands,2030,10-14,10,5,4.56,4.329,8.889
Chile,2030,10-14,10,5,584.576,562.655,1147.231
China,2030,10-14,10,5,44284.584,39344.41,83628.994
"China, Hong Kong SAR",2030,10-14,10,5,192.873,178.432,371.305
"China, Macao SAR",2030,10-14,10,5,18.938,18.147,37.085
"China, Taiwan Province of China",2030,10-14,10,5,531.064,494.68,1025.744
Colombia,2030,10-14,10,5,1872.933,1788.506,3661.439
Comoros,2030,10-14,10,5,60.457,58.426,118.883
Congo,2030,10-14,10,5,408.685,401.117,809.802
Costa Rica,2030,10-14,10,5,178.475,170.351,348.826
Croatia,2030,10-14,10,5,94.386,88.911,183.297
Cuba,2030,10-14,10,5,291.877,276.321,568.198
Curaçao,2030,10-14,10,5,4.706,4.515,9.221
Cyprus,2030,10-14,10,5,34.512,32.59,67.102
Czechia,2030,10-14,10,5,290.669,275.225,565.894
Côte d'Ivoire,2030,10-14,10,5,2015.179,1995.159,4010.338
Dem. People's Republic of Korea,2030,10-14,10,5,888.147,847.153,1735.3
Democratic Republic of the Congo,2030,10-14,10,5,7658.944,7539.603,15198.547
Denmark,2030,10-14,10,5,161.622,153.444,315.066
Djibouti,2030,10-14,10,5,49.251,48.368,97.619
Dominican Republic,2030,10-14,10,5,505.769,485.816,991.585
Ecuador,2030,10-14,10,5,846.369,809.278,1655.647
Egypt,2030,10-14,10,5,6487.869,6138.649,12626.518
El Salvador,2030,10-14,10,5,284.389,271.247,555.636
Equatorial Guinea,2030,10-14,10,5,98.928,96.735,195.663
Eritrea,2030,10-14,10,5,248.483,239.148,487.631
Estonia,2030,10-14,10,5,35.68,33.188,68.868
Eswatini,2030,10-14,10,5,71.062,70.243,141.305
